year,quarter,delay_status,total_sales,proportion
2016,3,long_delay,0.0,
2016,4,no_delay,564561808.26,1.0
2017,1,long_delay,301546824.76,0.10548366334746866
2017,1,no_delay,2556218448.95,0.8941871184557662
2017,1,short_delay,941138.1699999999,0.000329218196765113
2017,2,long_delay,278790854.6,0.049280176969304576
2017,2,no_delay,5305406785.01,0.9378047412443422
2017,2,short_delay,73063996.72,0.012915081786353148
2017,3,long_delay,30411250.29,0.006683335787814515
2017,3,no_delay,4504813460.71,0.9900014215887638
2017,3,short_delay,15085381.97,0.0033152426234216775
2017,4,long_delay,179630239.10999998,0.0014553579574146985
2017,4,no_delay,123102889179.42,0.9973753318799371
2017,4,short_delay,144324262.66,0.0011693101626481495
2018,1,long_delay,912619591.62,0.0354111138041193
2018,1,no_delay,23939193657.78,0.9288793696502986
2018,1,short_delay,920310063.87,0.035709516545582215
2018,2,long_delay,445363117.11,0.022550200425420823
2018,2,no_delay,19293969504.31,0.9769171774875262
2018,2,short_delay,10519207.299999999,0.000532622087052982
2018,3,long_delay,266214464.57000002,0.046086549191757496
2018,3,no_delay,5492841751.84,0.9509104699010441
2018,3,short_delay,17346426.849999998,0.0030029809071983734
2016,4,no_delay,96332608.78,1.0
2017,1,long_delay,6321527.02,0.0015525878348574059
2017,1,no_delay,4013937023.14,0.9858361393211151
2017,1,short_delay,51348142.92,0.012611272844027398
2017,2,long_delay,250451143.31,0.03170204161835943
2017,2,no_delay,7616454668.0,0.9640888824788331
2017,2,short_delay,33252365.410000004,0.004209075902807527
2017,3,long_delay,631593030.8,0.06425266359242358
2017,3,no_delay,9167879062.52,0.9326585641928228
2017,3,short_delay,30362118.79,0.003088772214753629
2017,4,long_delay,720357061.95,0.06378792742498011
2017,4,no_delay,9967483498.369999,0.8826249475261527
2017,4,short_delay,605159401.11,0.053587125048867035
2018,1,long_delay,1349902399.8700001,0.08555609319419777
2018,1,no_delay,13814313791.14,0.875543830607669
2018,1,short_delay,613764657.25,0.03890007619813318
2018,2,long_delay,407967106.03,0.020398478961893507
2018,2,no_delay,19510641209.25,0.9755379744039279
2018,2,short_delay,81270440.0,0.004063546634178693
2018,3,long_delay,69309823.85,0.006362875575660263
2018,3,no_delay,10250283291.41,0.9410105750616647
2018,3,short_delay,573252898.44,0.05262654936267494
2016,4,no_delay,125895042.01,1.0
2017,1,long_delay,88052922.61,0.021338890152163486
2017,1,no_delay,3999143838.58,0.9691590982406353
2017,1,short_delay,39209156.93000001,0.00950201160720121
2017,2,long_delay,125787759.06,0.021873155612073644
2017,2,no_delay,5621671204.26,0.9775489282072312
2017,2,short_delay,3323470.2199999997,0.0005779161806951156
2017,3,long_delay,271345746.09,0.029735989921472594
2017,3,no_delay,8832262278.43,0.9679018959379075
2017,3,short_delay,21554675.849999998,0.0023621141406197626
2017,4,long_delay,949659451.45,0.07070163318550479
2017,4,no_delay,11912199137.61,0.8868567912150471
2017,4,short_delay,570072310.73,0.042441575599448084
2018,1,long_delay,818002763.65,0.04540748516493658
2018,1,no_delay,17082340333.65,0.9482438810127242
2018,1,short_delay,114368809.31,0.0063486338223391475
2018,2,long_delay,148646254.75,0.008138980843591883
2018,2,no_delay,18047999659.3,0.9882006360620769
2018,2,short_delay,66851396.8,0.003660383094331273
2018,3,long_delay,54764672.26,0.006770058622387726
2018,3,no_delay,7996860617.110001,0.9885791868865353
2018,3,short_delay,37621098.97,0.004650754491076918
2016,4,no_delay,89215806.10000001,1.0
2017,1,long_delay,63055952.769999996,0.00462988923986536
2017,1,no_delay,13251925296.53,0.9730238564739369
2017,1,short_delay,304340834.49,0.022346254286197752
2017,2,long_delay,18949068.240000002,0.0047123199551264835
2017,2,no_delay,3999853196.9900002,0.9946973539292313
2017,2,short_delay,2373805.25,0.0005903261156422438
2017,3,long_delay,14881173.600000001,0.00031731128676007296
2017,3,no_delay,46869633777.43,0.9994012706020506
2017,3,short_delay,13197865.76,0.0002814181111893156
2017,4,long_delay,2562406882.07,0.18050667278929566
2017,4,no_delay,11340063177.98,0.798841545345825
2017,4,short_delay,293165162.04,0.020651781864879294
2018,1,long_delay,996732170.45,0.07211225968020506
2018,1,no_delay,11997857037.960001,0.8680291536458928
2018,1,short_delay,827362493.98,0.05985858667390206
2018,2,long_delay,320096680.23,0.015285007960883742
2018,2,no_delay,19951735049.21,0.9527197496752933
2018,2,short_delay,670040270.1800001,0.03199524236382298
2018,3,long_delay,219662470.04999998,0.024779841787367463
